,values
3858,0.6194166820124577
3867,0.4856627450075205
3911,0.8580027745216161
3914,0.6110885170201189
3917,0.8297889757187144
3931,0.5901863999836292
3932,0.7823707070973032
3974,0.7425178540909996
3997,0.8014785723327468
3999,0.7926014245667788
4007,0.7453398902964214
4015,0.8886508637410958
4096,0.7348463142748681
4101,0.7965388736583876
4114,0.6680383494702915
4119,0.8115362541053676
4169,0.7126206520615413
4177,0.8012102315941458
4203,0.8158479710322937
4211,0.8005134772710288
4222,0.6765552488079897
4251,0.8228366887480975
4281,0.8626492954850012
4282,0.6111602530374891
4287,0.7237044127797725
4294,0.7840808576243055
4341,0.6893835200937034
4366,0.9034984566771109
4390,0.895561196198788
4405,0.7727922192402521
4414,0.6188805370146643
4425,0.8225890635673947
4500,0.721875816540033
4505,0.8648112620618762
4508,0.7344845251059885
4518,0.6737661094890034
4547,0.8102214324281081
4548,0.7883456406265273
4628,0.5520206854316542
4636,0.8383778298550654
4638,0.8584322060672893
4645,0.7331903926726574
4652,0.6180657942493215
4675,0.7186676423154849
4704,0.7893345629106352
4725,0.8197204296582807
4742,0.7299698377182333
4761,0.8994692234177806
4770,0.6534002511757132
4773,0.8459039757610732
4790,0.7014223672352611
4797,0.832995393624113
4829,0.7184489201966331
4842,0.8011473897266709
4843,0.8132129577222944
4851,0.6812386759214176
4857,0.7317527470245486
4887,0.8229317476740338
4899,0.7691728314272115
4920,0.9145209676495322
4924,0.3986017542481902
4929,0.69746532633748
4935,0.9292627870758244
4940,0.8072292765428117
4990,0.8724181652157897
4997,0.6562845645926236
5008,0.7134831948701977
5031,0.5482509272521687
5049,0.6328892773237037
5097,0.4787316810460137
5104,0.7440841864752493
5147,0.8314982678635044
5175,0.8205683231775907
5212,0.6430380007630262
5213,0.5284032194686111
5241,0.7512738435372472
5308,0.6219527996711285
5315,0.7576310887333588
5324,0.8917340369907306
5363,0.8299834593928286
5379,0.5691950538764678
5392,0.7854590304552366
5399,0.6870334112613891
5422,0.6057037382782199
5433,0.7021558964575879
5436,0.5530587562387949
5448,0.6315961886976404
5466,0.5149198360453879
5480,0.9472677543186425
5509,0.6780357802458552
5514,0.743474518890965
5609,0.7741634627055977
5622,0.5278212911135831
5623,0.40419079260924995
5631,0.4750182478255601
5642,0.6918905659072596
5673,0.6398000677668368
5682,0.8231542962354542
5684,0.8059058640780001
5700,0.5836918073626264
5711,0.6376539578690285
5725,0.5171917220413079
5760,0.6079237423069499
5765,0.7224321717284105
5769,0.7955201839509894
5790,0.7443381397065421
5805,0.9132176152199865
5836,0.5156382609485662
5842,0.7644573454689398
5880,0.7949097375408336
5889,0.6610575559262766
5899,0.7443752544787714
5914,0.701056052842373
5928,0.9169179264424787
5941,0.7925422815523082
5967,0.8048255572178437
5982,0.8634428941062997
5997,0.7481418160588523
6015,0.7086853478632449
6018,0.6417902980113008
6037,0.7845049142943668
6051,0.7050403633696628
6070,0.8337333846275656
6103,0.6016992222803671
6109,0.694653838147915
6121,0.7518718220535846
6143,0.6665675652288539
6159,0.6414129651961128
6195,0.7950035761422886
6197,0.6655664947740677
6201,0.6383290146793946
6234,0.7257067108941634
6236,0.9157310715302353
6284,0.6136676341296561
6308,0.8978701907627584
6325,0.79491976460203
6331,0.6973805041940747
6335,0.5650858092321766
