,transect,row,time,week,julian,count,position
704,control,47,am,25,170,0,4
711,control,49,am,25,170,0,1
712,control,49,am,25,170,0,2
713,control,49,am,25,170,0,3
714,control,49,am,25,170,0,4
781,control,45,am,25,171,0,1
782,control,45,am,25,171,0,2
783,control,45,am,25,171,0,3
784,control,45,am,25,171,0,4
791,control,47,am,25,171,0,1
792,control,47,am,25,171,1,2
793,control,47,am,25,171,0,3
794,control,47,am,25,171,0,4
801,control,49,am,25,171,1,1
802,control,49,am,25,171,1,2
803,control,49,am,25,171,0,3
804,control,49,am,25,171,0,4
871,control,45,pm,25,171,0,1
872,control,45,pm,25,171,0,2
873,control,45,pm,25,171,0,3
874,control,45,pm,25,171,0,4
881,control,47,pm,25,171,0,1
882,control,47,pm,25,171,0,2
883,control,47,pm,25,171,0,3
884,control,47,pm,25,171,0,4
891,control,49,pm,25,171,0,1
892,control,49,pm,25,171,0,2
893,control,49,pm,25,171,0,3
894,control,49,pm,25,171,0,4
931,control,45,am,25,172,0,1
932,control,45,am,25,172,1,2
933,control,45,am,25,172,0,3
934,control,45,am,25,172,0,4
941,control,47,am,25,172,0,1
942,control,47,am,25,172,0,2
943,control,47,am,25,172,1,3
944,control,47,am,25,172,1,4
951,control,49,am,25,172,0,1
952,control,49,am,25,172,0,2
953,control,49,am,25,172,0,3
954,control,49,am,25,172,0,4
961,control,47,pm,25,172,0,1
962,control,47,pm,25,172,1,2
963,control,47,pm,25,172,0,3
964,control,47,pm,25,172,0,4
971,control,45,pm,25,172,0,1
972,control,45,pm,25,172,0,2
973,control,45,pm,25,172,0,3
974,control,45,pm,25,172,0,4
981,control,49,pm,25,172,0,1
982,control,49,pm,25,172,0,2
983,control,49,pm,25,172,0,3
984,control,49,pm,25,172,0,4
1021,control,46,pm,26,177,1,1
1022,control,46,pm,26,177,0,2
1023,control,46,pm,26,177,0,3
1024,control,46,pm,26,177,1,4
1031,control,48,pm,26,177,0,1
1032,control,48,pm,26,177,0,2
1033,control,48,pm,26,177,0,3
1034,control,48,pm,26,177,1,4
1041,control,50,pm,26,177,0,1
1042,control,50,pm,26,177,0,2
1043,control,50,pm,26,177,0,3
1044,control,50,pm,26,177,0,4
1081,control,46,am,26,177,0,1
1082,control,46,am,26,177,0,2
1083,control,46,am,26,177,0,3
1084,control,46,am,26,177,0,4
1091,control,48,am,26,177,0,1
1092,control,48,am,26,177,0,2
1093,control,48,am,26,177,0,3
1094,control,48,am,26,177,0,4
1101,control,50,am,26,177,0,1
1102,control,50,am,26,177,0,2
1103,control,50,am,26,177,0,3
1104,control,50,am,26,177,0,4
1141,control,46,pm,26,178,0,1
1142,control,46,pm,26,178,0,2
1143,control,46,pm,26,178,0,3
1144,control,46,pm,26,178,0,4
1151,control,48,pm,26,178,0,1
1152,control,48,pm,26,178,0,2
1153,control,48,pm,26,178,0,3
1154,control,48,pm,26,178,2,4
