,values
1595,0.8198827616957741
1618,0.813012667584563
1654,0.9064751170958767
1666,0.8841988567487821
1674,0.85912155573598
1683,0.8349650829412361
1684,0.7620332285207205
1688,0.9569854402941498
1694,0.8996927837239456
1701,0.8773698637576514
1705,0.8680681395751311
1725,0.8008081907561184
1766,0.7900272476165177
1769,0.8774355115993734
1786,0.6794785095424168
1791,0.6899649636818216
1798,0.6063228909576764
1801,0.8432586046821011
1804,0.8115244638854596
1805,0.7309301456322433
1806,0.7978157760512684
1831,0.5957964701368867
1833,0.8139733751055538
1844,0.7999632390868737
1848,0.8558034299745971
1849,0.7871818887443448
1855,0.6882907187268701
1878,0.7581728142298987
1936,0.7442701639422324
1980,0.6934253355212133
2003,0.7832330725882053
2016,0.8609731252472056
2020,0.7347866287842953
2031,0.8607691027423788
2052,0.7235187851185442
2053,0.8777152487661793
2061,0.7584070153977387
2122,0.7642040403275673
2139,0.9099904404033888
2150,0.8191588368833921
2166,0.9264310214654007
2178,0.8872236572216134
2184,0.6439653939552833
2190,0.5996294293625445
2191,0.8582556427447886
2203,0.9377302060742414
2214,0.7083334764678292
2242,0.8548700049549072
2262,0.9300506341447653
2271,0.8096156176805877
2304,0.8112873634520522
2347,0.7323164703524689
2352,0.775790560406355
2355,0.9136261897340408
2374,0.726114196004836
2394,0.779519318020995
2399,0.7388687586376487
2411,0.8174901807911392
2434,0.5916112775117018
2435,0.44755864715005433
2444,0.7426268796536972
2448,0.7311655153911182
2449,0.8806035397428786
2493,0.9183546688485682
2512,0.7821822189131072
2525,0.6677534112308426
2554,0.7813173287966411
2558,0.9180491016110437
2581,0.8137163956332008
2600,0.9139977057524822
2612,0.8461991366662707
2632,0.7801935305655908
2684,0.7405575898450952
2707,0.7603223239083073
2723,0.9009170968344914
2735,0.9241135858875583
2737,0.686273498227877
2741,0.894690982727574
2771,0.6350875375603408
2772,0.6431435430151641
2782,0.8742772031402412
2787,0.7564803321824001
2791,0.8396965390923001
2798,0.7526958584516728
2836,0.7174003536203192
2853,0.947164908741272
2871,0.9059349297959239
2898,0.7107749405064154
2918,0.6828046460695966
2934,0.6808150169937106
2937,0.9219757732566081
2959,0.8217372039241239
2970,0.8347643840788403
2977,0.7770163425202026
2983,0.8437571398187232
2984,0.7447855591771594
2987,0.813681832400122
3004,0.8148094931117236
3009,0.7073464559696696
3016,0.8633976280272794
3017,0.8283008382078508
3022,0.8739865614291311
3032,0.6943181978274076
3035,0.8106122418517219
3068,0.8095490350987748
3099,0.9616527515582636
3103,0.7751426945571084
3121,0.6526885591257354
3145,0.8485312497549853
3172,0.8445736236409811
3176,0.7323763423418255
3179,0.6430942106786991
3198,0.7927563012301415
3201,0.806124903453019
3205,0.8744918757899476
3213,0.8744462057479396
3231,0.8528950834279353
3239,0.93939455466015
3248,0.9538933855187046
3307,0.8408099240493877
3329,0.705729584729547
3347,0.9204464067773821
3386,0.8065199924919028
3397,0.8394556802451593
3404,0.6658629688551332
3418,0.9344085115048958
3429,0.903923957568159
3431,0.8820072787358095
3438,0.8430919512030676
3466,0.6176823906111061
3473,0.6979605953784135
3551,0.7837854244510615
3590,0.8855106736154248
3592,0.6369084588511191
3596,0.7183110313175023
3601,0.8587090512709012
3612,0.6100230440144289
3614,0.9178385735095346
3620,0.7852051619153395
3629,0.7870613543414349
3656,0.8944101031117682
3661,0.7865058387328764
3672,0.9007512840354253
3697,0.7687477512517981
3698,0.8038522366684445
3703,0.8355578691160388
3708,0.7525512265353996
3728,0.8142172413043154
3734,0.6388304061141821
3751,0.7584417398060105
3778,0.9038565785860642
3780,0.5971818065731664
3802,0.7210060558385821
3809,0.8384608516826327
3814,0.7117980928404486
3843,0.8779396694123623
3845,0.8483036834979347
3846,0.6847689834967127
3851,0.6897628730834477
3894,0.7907894481530288
3897,0.7217257448832116
3939,0.7456370697508227
3966,0.8246521678829595
3971,0.809948186232575
4045,0.7872262051086797
4046,0.8740296180220849
4088,0.5480327829704821
4102,0.7862656266882101
4113,0.8764714418264955
4134,0.7727387633090467
4150,0.7094120761965512
4156,0.8644506288966013
4168,0.7401021308005429
4169,0.8022441734727208
4172,0.5929770461633108
4178,0.8091444073008192
4180,0.9576073865136584
4187,0.6249183601251598
4198,0.7362657483088659
4203,0.7135534662694794
4230,0.6248176014505977
4248,0.7943904988774001
4265,0.9125360325378927
4268,0.796096255903699
4278,0.502996526738799
4306,0.8024530267307216
4327,0.903748095498248
4332,0.7323002207172813
4347,0.6114214054982503
4349,0.6905250411793926
4357,0.7032858054433526
4364,0.8485233664523745
4378,0.8192012245167928
4394,0.9484917349011148
4395,0.856229949436629
4403,0.7554821720768349
4422,0.8996797275873067
4444,0.9091049716988695
4447,0.8506199978296384
4483,0.7697491067155009
4500,0.5530498682413605
4522,0.8814858821745988
4529,0.8169070114340561
4585,0.6589619230050027
4598,0.8065805062348598
4618,0.7956822603339432
4637,0.9358026854209419
4652,0.7943002609409554
4673,0.7286474102321605
4678,0.7736492430550429
4692,0.6337684438954664
4706,0.8391878479998958
4732,0.7635174146201198
4746,0.6796881896262132
4758,0.6804573218569155
4764,0.620711716626977
4770,0.8418088842772226
4777,0.9346257787582254
4791,0.6065226815704783
4792,0.7693538673425118
4808,0.9264034734984041
4842,0.6656428209132457
4850,0.8196901090434202
4856,0.551006952474881
4863,0.8114660546143634
4868,0.7370234029385102
4890,0.8887900543836766
4899,0.9426780439934825
4940,0.8987838121612637
4947,0.8416115786251002
4960,0.8264848611269409
4963,0.7708846739068514
4971,0.9438701133890487
4973,0.44612507237320465
4989,0.949536146347722
5010,0.8744713384954129
5024,0.8122044513061504
5044,0.875453673093764
5053,0.8014512295284216
5056,0.807810746425914
5067,0.8930932480885505
5068,0.8896656079779977
5125,0.5316790339735875
5126,0.7272435567805758
5127,0.9498482920448359
5128,0.6612952655933169
5153,0.8675678997170055
5157,0.9567361728977818
5158,0.8308007872575202
5159,0.6844760791692241
5178,0.8507887333531657
5192,0.8527002017001301
5202,0.6901254358392924
5206,0.9633694895218083
5238,0.8481618043233373
5257,0.8634174288210213
5263,0.7416357077154195
5277,0.9241443103377431
5314,0.7389577553502089
5320,0.6457024847679904
5336,0.9071893947242742
5356,0.5670524072000179
5376,0.7458654382441767
5420,0.8226434140033294
5459,0.8533051158550484
5461,0.8550298809385423
5472,0.803159884923508
5483,0.9413425889664846
5490,0.8954514197637972
5503,0.9477499163017651
5522,0.8681523664883826
5539,0.6875174307290238
