triplet,index_0,index_1,index_2,ngram_0,ngram_1,ngram_2
296,0.9,1.0,0.9,0.704,1.0,0.704
297,0.7,0.7,1.0,0.353,0.484,0.484
298,0.8,1.0,0.8,0.586,0.84,0.586
299,0.9,0.7,0.6,0.484,0.394,0.394
300,0.9,0.5,0.6,0.586,0.243,0.394
301,0.9,1.0,0.9,0.704,0.84,0.643
302,0.6,0.6,1.0,0.438,0.394,0.643
303,1.0,1.0,1.0,0.643,0.84,0.586
304,0.9,0.5,0.6,0.704,0.314,0.243
305,0.7,0.9,0.8,0.533,0.643,0.438
306,0.5,0.9,0.6,0.278,0.769,0.314
307,0.6,0.9,0.7,0.243,0.484,0.484
308,0.9,0.9,0.8,0.704,0.586,0.484
309,0.8,0.7,0.5,0.533,0.484,0.243
310,0.9,0.6,0.7,0.643,0.394,0.394
311,0.8,0.9,0.7,0.484,0.484,0.438
312,1.0,0.7,0.7,0.704,0.484,0.484
313,0.8,0.8,1.0,0.484,0.704,0.484
314,0.7,0.5,0.8,0.394,0.278,0.484
315,0.8,0.8,1.0,0.353,0.394,0.704
316,0.7,0.8,0.9,0.353,0.533,0.643
317,0.9,0.8,0.7,0.533,0.484,0.243
318,0.8,1.0,0.8,0.704,1.0,0.704
319,0.9,0.7,0.8,0.586,0.353,0.586
320,0.6,0.7,0.9,0.314,0.484,0.484
321,1.0,1.0,1.0,0.484,0.484,0.438
322,0.7,0.9,0.8,0.484,0.438,0.394
323,0.6,0.9,0.5,0.438,0.394,0.243
324,1.0,0.9,0.9,0.484,0.438,0.484
325,0.7,1.0,0.7,0.353,0.704,0.438
326,0.9,0.8,0.9,0.484,0.278,0.586
327,0.5,0.6,0.9,0.314,0.314,0.533
328,0.8,0.8,1.0,0.484,0.353,0.484
329,0.9,1.0,0.9,0.438,0.586,0.484
330,0.9,1.0,0.9,0.438,0.533,0.704
331,0.8,0.7,0.5,0.643,0.438,0.314
332,0.9,0.9,1.0,0.484,0.533,0.438
333,0.9,0.9,1.0,0.704,0.84,0.704
334,0.9,0.9,0.8,0.484,0.84,0.394
335,0.9,0.6,0.7,0.704,0.394,0.484
336,1.0,0.8,0.8,0.704,0.484,0.586
337,0.6,0.8,0.8,0.484,0.438,0.586
338,0.8,0.9,0.9,0.533,0.484,0.438
339,0.6,0.8,0.8,0.394,0.586,0.586
340,0.9,1.0,0.9,0.484,0.643,0.704
341,0.7,0.9,0.8,0.394,0.586,0.586
342,1.0,1.0,1.0,0.704,0.704,0.484
343,0.9,0.5,0.6,0.704,0.278,0.394
344,0.8,0.9,0.9,0.704,0.704,0.533
345,0.7,0.9,0.8,0.484,0.533,0.484
346,0.6,0.9,0.7,0.314,0.84,0.394
347,1.0,0.7,0.7,0.586,0.484,0.484
348,0.8,0.9,0.7,0.394,0.484,0.353
349,0.9,1.0,0.9,0.484,0.643,0.314
350,0.8,0.9,0.9,0.394,0.353,0.438
